카테고리,가게명,주소
한식,따라따라포차,경기도 안산시 상록구 본오동 888 풍족한식탁 1층 101호
한식,황금산숯불바베큐-본오점,경기도 안산시 상록구 본오동 769-1 1층 101호
한식,신오돌불닭발,경기도 안산시 상록구 본오동 873-9 덕암빌딩 206호
한식,본오냉면,"경기도 안산시 상록구 본오동 879-8 대한빌딩 879-8 1층 105호,106호(대한빌딩)"
한식,서현닭발,"경기도 안산시 상록구 본오동 878-8 상록빌딩 878-8 상록빌딩 108호, 109호"
한식,김미자당진아구동태찜탕-본오점,경기도 안산시 상록구 본오동 918-8 918-8
한식,육회본가2호점-본오점,경기도 안산시 상록구 본오동 892-5 892-5 101호
한식,신라왕족발-본오점,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 115호
한식,두례김밥,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 1층 107호
한식,통큰스시-본오본점,경기도 안산시 상록구 본오동 879-1 웅진빌딩 879-1 웅진빌딩 1층 107호(본오동.웅진빌딩)
한식,써니꼬마김밥,경기도 안산시 상록구 본오동 819-8 819-8 102호
한식,옥류관평양냉면,경기도 안산시 상록구 본오동 777-3 1층
한식,펭귄즉석떡복이,경기도 안산시 상록구 본오동 855-2 1층 일부호
한식,공주네분식,경기도 안산시 상록구 본오동 886-9 103호
한식,포휘엔,경기도 안산시 상록구 본오동 872-13 상록빌딩 1층105호
한식,광발이횟집,경기도 안산시 상록구 본오동 827-6 827-6 1층
한식,김강남매운떡볶이-안산본오점,경기도 안산시 상록구 본오동 822-4 103호
한식,스텔라떡볶이-경기안산본오점,경기도 안산시 상록구 본오동 872-13 상록빌딩 1층 107호
한식,오승렬스시,경기도 안산시 상록구 본오동 877-5 우남센스빌 877-5 우남센스빌 1층 110호
한식,학창시절즉석떡볶이,"경기도 안산시 상록구 본오동 880-3 광림빌딩 103호(본오동, 광림빌딩)"
한식,하우스떡볶이-본오점,경기도 안산시 상록구 본오동 829-10 1층102호
한식,별난삼계탕,경기도 안산시 상록구 본오동 829 1층 102호
한식,코다리찜&부대찌개,경기도 안산시 상록구 본오동 773-7 1층
한식,남도한식-본오동,경기도 안산시 상록구 본오동 668 668
한식,불김삼불맛나는김치삼겹구이-본점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B108호
한식,제육맛집,경기도 안산시 상록구 본오동 797-21 797-21
한식,바싹돈까스&볶음밥,경기도 안산시 상록구 본오동 878-10 우석빌딩 110호
한식,닭발사냥꾼-본점,경기도 안산시 상록구 본오동 873-9 덕암빌딩 206호
한식,청해화아구&해물찜,경기도 안산시 상록구 본오동 888-2 1층 일부호
한식,황진이왕족발보쌈,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 115호
한식,얼큰이국밥,경기도 안산시 상록구 본오동 829 1층 102호
한식,홍대왕돈까스-상록점,경기도 안산시 상록구 본오동 878-10 우석빌딩 110호(본오동)
한식,즉석반찬,"경기도 안산시 상록구 본오동 827-13 101, 102호"
한식,수라간한식백반,경기도 안산시 상록구 본오동 839-9 1층
한식,또와곱창,경기도 안산시 상록구 본오동 912-5 1층 102호(본오동)
한식,새벽나주곰탕,경기도 안산시 상록구 본오동 814-7 814-7 1층
한식,일미정특선&한식,"경기도 안산시 상록구 본오동 827-13 101,102호"
한식,금자씨소반,경기도 안산시 상록구 본오동 913-10 1층 101호
한식,만수르한식포차-본점,경기도 안산시 상록구 본오동 882-10 1층
한식,수라간셀프도시락,경기도 안산시 상록구 본오동 839-9 1층
한식,컵빱-본점,경기도 안산시 상록구 본오동 814-8 내만삼겹살 103호
한식,화끈쭈꾸미-본점,경기도 안산시 상록구 본오동 777 777 1층
한식,콩불한상-상록점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 1층 133호
한식,홍가네국밥-본오점,경기도 안산시 상록구 본오동 724 청룡빌라 1층 105호
한식,청불19포차,경기도 안산시 상록구 본오동 860-15 1층
한식,국밥과찌개,경기도 안산시 상록구 본오동 762-16 102호
한식,청기와김치찜-본점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B108호
한식,무근지김치찜찌개-안산상록점,경기도 안산시 상록구 본오동 860-15 1층
한식,동대문명가닭한마리,경기도 안산시 상록구 본오동 872 월드아파트 상가2동 2층207호
한식,경희꼼국,경기도 안산시 상록구 본오동 856-14 102호
한식,소공동김치찜전문점,경기도 안산시 상록구 본오동 797-21 797-21
한식,거기김치찜,경기도 안산시 상록구 본오동 890-3 지하1층
한식,우리동네정육점,경기도 안산시 상록구 본오동 891-5 1층103호
한식,석쇠로770연탄불고기-상록구점,경기도 안산시 상록구 본오동 874-6 대동빌딩 1층 115호
한식,맘마분식,경기도 안산시 상록구 본오동 790-14 상가 1층 101호 일부
한식,국민학교분식,경기도 안산시 상록구 본오동 913-17 1층 일부(본오동)
일식/돈까스,우리동네초밥24-초밥전문점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 상가3동 112호(본오동, 월드아파트)"
일식/돈까스,제철회수산-회전문점,"경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 1층 103호(본오동, 우성아파트 상가동)"
일식/돈까스,초미남-안산점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지층 B118호
일식/돈까스,이자카야호 육회&연어-본오점,"경기도 안산시 상록구 본오동 879-11 극동프라자 106호,107호 이자카야호"
일식/돈까스,멘야타치아가루,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B113호
일식/돈까스,신어부이야기-안산점,경기도 안산시 상록구 본오동 901-9 1층 신어부이야기
일식/돈까스,망고라이스가츠,경기도 안산시 상록구 본오동 849-1 1층
일식/돈까스,조개랑오징어랑-상록점,경기도 안산시 상록구 본오동 797-6 797-6 1층
일식/돈까스,또초밥,경기도 안산시 상록구 본오동 871 신안코아 127동상가 지하 26호 일부 또초밥
족발/보쌈,본오왕족발-본오점,경기도 안산시 상록구 본오동 871-10 로스코프라자 871-10 로스코프라자 103호
족발/보쌈,야들야들한보약족발보쌈-안산상록점,경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 880-12 굿모닝리빙프라자 II 104호
족발/보쌈,화덕에구운족발신선생-상록수점,경기도 안산시 상록구 본오동 872-6 안산석천빌딩 872-6 안산석천빌딩 1층 103~105호
족발/보쌈,건강한족발보쌈-천연재료,"경기도 안산시 상록구 본오동 879-8 대한빌딩 879-8 1층 105호,106호(대한빌딩)"
족발/보쌈,상록수장충동왕족발보쌈,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 115호
족발/보쌈,족발보쌈전문점,"경기도 안산시 상록구 본오동 879-8 대한빌딩 879-8 1층 105호,106호(대한빌딩)"
야식,요거트월드-본오점,경기도 안산시 상록구 본오동 888 풍족한식탁 103호
야식,루틴카페-안산점,경기도 안산시 상록구 본오동 873-1 상경빌딩 B107호
야식,빙수베어,경기도 안산시 상록구 본오동 1127-8 지1층 일부
야식,할로과일카페,경기도 안산시 상록구 본오동 912 1층 일부
야식,디저트카페딥띵스,경기도 안산시 상록구 본오동 862 1층 105호(본오동)
야식,베이커리카페버터풀-안산점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B107호
야식,쿠모쿠모,경기도 안산시 상록구 본오동 873-1 상경빌딩 B107호
야식,신세계떡볶이,경기도 안산시 상록구 본오동 675-11 1층 101호
야식,머스트픽본점-MUSTPICK,경기도 안산시 상록구 본오동 813-8 1층 일부
야식,마초떡볶이-본오점,경기도 안산시 상록구 본오동 854-13 101호
분식,학교앞꽁이네분식,경기도 안산시 상록구 본오동 904-17 1층
분식,황제찹쌀꽈배기,경기도 안산시 상록구 본오동 814-2 1층 103호
분식,장모님손맛수제식혜&요기거리,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지하1층 B01,B02호 일부"
분식,리터퀸커피-안산본오동점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 108호
분식,투몬스터캔커피-본오2호점,경기도 안산시 상록구 본오동 886-8 1층 101호
분식,진타코진심타코야끼-본오점,경기도 안산시 상록구 본오동 813-18 1층 일부 104호
분식,101분식,경기도 안산시 상록구 본오동 860-15 1층 101호
카페/디저트,카페호시,경기도 안산시 상록구 본오동 790-14 1층 101호
카페/디저트,떡사랑,경기도 안산시 상록구 본오동 889-5 대한예수교장로회우리하나교회 889-5 대한예수교장로회우리하나교회 1층 101호
카페/디저트,빠띠프랑,경기도 안산시 상록구 본오동 823-6 1층
카페/디저트,송메공(베트남쌀국수),경기도 안산시 상록구 본오동 879-1 웅진빌딩 웅진빌딩 203호 본오동
카페/디저트,누카커피,경기도 안산시 상록구 본오동 862-7 1층
카페/디저트,수다,경기도 안산시 상록구 본오동 784-8 1층 102호
카페/디저트,크림비케이크,경기도 안산시 상록구 본오동 872-3 안산송촌빌딩 1층 103호
카페/디저트,에그인,경기도 안산시 상록구 본오동 823-14 1층일부
카페/디저트,카페돈-본오점,경기도 안산시 상록구 본오동 877-12 대아상가 877-12 대아상가 103호
카페/디저트,린덴(LINDEN),경기도 안산시 상록구 본오동 895-20 1층 101호
카페/디저트,라온샌드위치＆샐러드,경기도 안산시 상록구 본오동 909-5 1층일부
카페/디저트,다복수제꽈배기,경기도 안산시 상록구 본오동 880-5 1층 108호
1인분 주문,본죽앤비빔밥-안산부곡점,경기도 안산시 상록구 부곡동 538-5
프랜차이즈,롯데리아-안산부곡점,"경기도 안산시 상록구 부곡동 538-5 538-5 102,103,104호"
프랜차이즈,굽네치킨&피자-안산부곡점,경기도 안산시 상록구 부곡동 539 부곡쇼핑 1층
프랜차이즈,BHC-안산부곡점,경기도 안산시 상록구 부곡동 643-9 1층 일부호
프랜차이즈,배통치킨-부곡점,경기도 안산시 상록구 부곡동 613-7 1층 102호
프랜차이즈,훌랄라참숯치킨-안산부곡점,경기도 안산시 상록구 부곡동 628-12 1층
프랜차이즈,동대문엽기떡볶이-안산부곡점,경기도 안산시 상록구 부곡동 673-9 673-9 1층 일부호
프랜차이즈,이삭토스트-안산부곡점,경기도 안산시 상록구 부곡동 539 부곡쇼핑 113호
프랜차이즈,페리카나-안산부곡점,경기도 안산시 상록구 부곡동 685-11 안산제2종합시장 685-11 안산제2종합시장 1층 1003호
프랜차이즈,짜장면사무소,경기도 안산시 상록구 부곡동 538-2 1층 일부(부곡동)
프랜차이즈,발도스커피-안산부곡점,경기도 안산시 상록구 부곡동 622-10 1층 일부
프랜차이즈,파리바게뜨-안산부곡점,경기도 안산시 상록구 부곡동 662-4 1층
프랜차이즈,탕화쿵푸마라탕-부곡점,경기도 안산시 상록구 부곡동 665-3 101호
프랜차이즈,계근상닭도리탕-안산부곡점,경기도 안산시 상록구 부곡동 538-1 은성빌딩 1층 102호
프랜차이즈,전통숙성황실김치찜&찌개-안산부곡점,경기도 안산시 상록구 부곡동 538-1 은성빌딩 1층 102호
프랜차이즈,땅스즉석떡볶이-안산부곡동점,경기도 안산시 상록구 부곡동 684-3 1층일부
프랜차이즈,큰맘할매순대국-부곡점,경기도 안산시 상록구 부곡동 667-13 1층
프랜차이즈,땅스부대찌개-부곡동점,경기도 안산시 상록구 부곡동 684-3 1층일부
프랜차이즈,도야짬뽕-부곡점,"경기도 안산시 상록구 부곡동 685-10 프라움포레 A동 A동 102,103호"
프랜차이즈,김밥천국-부곡초점,경기도 안산시 상록구 부곡동 673-10 102호
프랜차이즈,이디야커피-안산부곡동점,경기도 안산시 상록구 부곡동 666-4 부곡웨스턴빌딩 1층 일부
프랜차이즈,구도로통닭-안산부곡점,경기도 안산시 상록구 부곡동 666-4 부곡웨스턴빌딩 1층
프랜차이즈,구워더존치킨-부곡점,경기도 안산시 상록구 부곡동 533-1 1층
프랜차이즈,심봉사도로케-안산부곡점,경기도 안산시 상록구 부곡동 642-7 1층
치킨,고구려옛날통닭-부곡점,경기도 안산시 상록구 부곡동 729 101호
치킨,마마닭강정-부곡점,경기도 안산시 상록구 부곡동 662-3 662-3 1층
치킨,치킨프라이데이,경기도 안산시 상록구 부곡동 625 102호
치킨,와닭강정그리고포차,경기도 안산시 상록구 부곡동 620-15 102호
피자/양식,뻘떡빨닭,경기도 안산시 상록구 부곡동 538 부곡프라자 1층 103호 뻘떡빨닭
중국집,하림각-부곡점,경기도 안산시 상록구 부곡동 542-1 542-1 1층
한식,백년순대-부곡점,경기도 안산시 상록구 부곡동 664-4 1층
한식,동대문순대곱창볶음,경기도 안산시 상록구 부곡동 665-1 665-1 102호
한식,송학추어탕,경기도 안산시 상록구 부곡동 620-15 620-15
한식,미스터리부대찌개-부곡점,경기도 안산시 상록구 부곡동 538 부곡프라자 1층 103호 미스터리부대찌개
한식,삼겹남차돌여,경기도 안산시 상록구 부곡동 542-9 542-9 1층
한식,도쿄동-부곡점,경기도 안산시 상록구 부곡동 627 102호
한식,이모네집-상록점,경기도 안산시 상록구 부곡동 644 1층 104호
한식,한라면옥-안산부곡점,경기도 안산시 상록구 부곡동 641-3 1층
한식,샤브웨이-안산부곡점,경기도 안산시 상록구 부곡동 538-1 은성빌딩 1층 102호
한식,장수참나무오리바베큐,경기도 안산시 상록구 부곡동 673-3 1층
한식,진장어,"경기도 안산시 상록구 부곡동 728-15 1층 4,5호"
일식/돈까스,스시애연어,경기도 안산시 상록구 부곡동 665-2 665-2
족발/보쌈,화퉁족발-본점,경기도 안산시 상록구 부곡동 666-4 부곡웨스턴빌딩 1층
카페/디저트,밀키그릭,경기도 안산시 상록구 부곡동 533-4 부곡시장 110호 503호
1인분 주문,열정국밥-안산사동점,경기도 안산시 상록구 사동 1200 1층 일부
1인분 주문,짜글이미식회-상록점,경기도 안산시 상록구 사동 1252-11 1층 일부호
1인분 주문,정통오모가리김치찜-본점,경기도 안산시 상록구 사동 1581-6 1층
1인분 주문,장군직화구이족발-안산점,"경기도 안산시 상록구 사동 1244-13 101,102호"
1인분 주문,순뼈감-안산한양대점,경기도 안산시 상록구 사동 1149-20 1층
1인분 주문,밥부르기니-본점,경기도 안산시 상록구 사동 1581-6 지하1층 일부호
1인분 주문,밀플랜비-한양대에리카점,경기도 안산시 상록구 사동 1149-11 밀플랜비
1인분 주문,곱도리탕부터시작하는자영업생활-안산점,경기도 안산시 상록구 사동 1576-3 1층 102호
1인분 주문,한방왕족발-안산본점,경기도 안산시 상록구 사동 1201 1층 일부
1인분 주문,페퍼로니버튼-에리카점,경기도 안산시 상록구 사동 1569-1 A동 1층
1인분 주문,옥수동묵은지김치찜-안산점,경기도 안산시 상록구 사동 1576-3 101호 (사동)
1인분 주문,맘사랑돼지김치찜,경기도 안산시 상록구 사동 1516-1 1516-1 101호
1인분 주문,통닭원-사동점,경기도 안산시 상록구 사동 1418-4 1층
1인분 주문,굽네치킨&피자-사동감골점,"경기도 안산시 상록구 사동 1318-8 한도프라자 103,104호"
1인분 주문,올데이쿡인생맛죽-안산상록점,경기도 안산시 상록구 사동 1286-8 1층 일부
1인분 주문,그릴하우스-안산상록점,경기도 안산시 상록구 사동 1169-2 1층
1인분 주문,토핑스온패티스,경기도 안산시 상록구 사동 1151-4 1층
1인분 주문,담양죽순추어탕-안산점,경기도 안산시 상록구 사동 1184-3 1층
1인분 주문,THE더가득담은김치찜-안산점,경기도 안산시 상록구 사동 1576-3 1층 102호
1인분 주문,"보고싶닭,곱도리-본점",경기도 안산시 상록구 사동 1581-6 1층
1인분 주문,마미묵은지찜-안산점,경기도 안산시 상록구 사동 1516-1 1516-1 101호
1인분 주문,"옥수동돼치집,돼지와김치의완벽한비율을찾다-안산점",경기도 안산시 상록구 사동 1576-3 1층 102호
1인분 주문,한근제육&쭈꾸미볶음-안산점,경기도 안산시 상록구 사동 1516-1 1층 일부 (사동)
1인분 주문,닭요리하는남자,경기도 안산시 상록구 사동 1167-1 1167-1 지하1층
1인분 주문,필라프에빠지다&파스타-본점,경기도 안산시 상록구 사동 1204-12 1층
1인분 주문,곱창의전설-안산점,경기도 안산시 상록구 사동 1528-11 101호-6
1인분 주문,포레파스타,경기도 안산시 상록구 사동 1307 104호
1인분 주문,킴브로스피자&파스타-안산상록수점,경기도 안산시 상록구 사동 1392-8 1층 일부
1인분 주문,미나리에칼집낸삼겹미나삼-안산본점,경기도 안산시 상록구 사동 1581-6 지하1층(사동)
1인분 주문,닭플릭스오리지날찜닭-안산점,경기도 안산시 상록구 사동 1293 1층 일부호
1인분 주문,진곱도리탕전문점-안산점,경기도 안산시 상록구 사동 1293 1층 일부호
1인분 주문,엄마밥상-상록구점,경기도 안산시 상록구 사동 1317-5 1층
1인분 주문,도래곱창-안산점,경기도 안산시 상록구 사동 1528-11 101호-1
1인분 주문,구백냥곱창-안산점,경기도 안산시 상록구 사동 1528-11 101호-5
1인분 주문,닭도리탕전문팔도당-안산점,경기도 안산시 상록구 사동 1293 1층 일부호
1인분 주문,"연탄할매곱창,막창&닭발-안산점",경기도 안산시 상록구 사동 1528-11 101호-3
1인분 주문,외길곱창-안산점,경기도 안산시 상록구 사동 1528-11 101호-4
프랜차이즈,또래오래-사동점,경기도 안산시 상록구 사동 1322-6 1층(사동)
프랜차이즈,북경반점-한양대점,경기도 안산시 상록구 사동 1154-15 하늘채 1층
프랜차이즈,호식이두마리치킨-사동1호점,"경기도 안산시 상록구 사동 1285-2 호식이두마리치킨,사동1호점 1층 103호"
프랜차이즈,써브웨이-안산한양대점,"경기도 안산시 상록구 사동 1569-4 1층 106,107호"
프랜차이즈,인생치킨-상록점,경기도 안산시 상록구 사동 1241-1 1층 103호
프랜차이즈,교촌치킨-사동1호점,경기도 안산시 상록구 사동 1172 1층
프랜차이즈,쥬씨-안산한양대점,경기도 안산시 상록구 사동 1149-1 1149-1 1층
프랜차이즈,페리카나-한대역점,경기도 안산시 상록구 사동 1186-8 1186-8
프랜차이즈,해두리치킨-사동점,경기도 안산시 상록구 사동 1333-9 휴먼빌딩 1층 102호
프랜차이즈,육회바른연어-안산한양대점,"경기도 안산시 상록구 사동 1569-4 108,109호"
프랜차이즈,1리터SELL&디저트와플-상록점,경기도 안산시 상록구 사동 1519-10 101호
프랜차이즈,88제육-상록점,경기도 안산시 상록구 사동 1186-11 1층
프랜차이즈,버텍스미국식덮밥-한양대에리카점,경기도 안산시 상록구 사동 1567-8
프랜차이즈,피자헐-안산본점,경기도 안산시 상록구 사동 1393-11 1393-11 1층
프랜차이즈,멕시카나-사동점,경기도 안산시 상록구 사동 1412-6 1층 102호
프랜차이즈,마X포차-사동점,경기도 안산시 상록구 사동 1304-11 마엑스포차 1층
프랜차이즈,도미노피자-상록수점,경기도 안산시 상록구 사동 1341-12 1층
프랜차이즈,동해루-사동점,경기도 안산시 상록구 사동 1333 1층
프랜차이즈,행컵-안산한양대점,경기도 안산시 상록구 사동 1568-11 1층
프랜차이즈,토마토도시락-안산한양대점,"경기도 안산시 상록구 사동 1570-4 토마토도시락,안산한양대점 101호"
프랜차이즈,반올림피자-안산1호점,경기도 안산시 상록구 사동 산 62-3
프랜차이즈,보배반점-안산한양대점,"경기도 안산시 상록구 사동 1562-7 1층 104, 105호, 106호"
프랜차이즈,정직유부-안산한양대점,경기도 안산시 상록구 사동 1149-1 1층
프랜차이즈,미쳐버린파닭-안산한양대점,경기도 안산시 상록구 사동 1149-23 미쳐버린파닭
프랜차이즈,바우네나주곰탕-사동점,경기도 안산시 상록구 사동 1285-4 1층 일부
프랜차이즈,육회꽃필무렵-사동점,"경기도 안산시 상록구 사동 1244-13 101,102호"
프랜차이즈,달롱도르요거트아이스크림-상록수점,경기도 안산시 상록구 사동 1200-8 1층 일부
프랜차이즈,교반육회비빔밥-안산사동점,경기도 안산시 상록구 사동 1562-6 1층 사동
프랜차이즈,숙성고기육칠이-안산상록점,경기도 안산시 상록구 사동 1241-8 1층 101호
프랜차이즈,오이시타코야끼-안산사동점,경기도 안산시 상록구 사동 1194-1 청룡빌딩 1층 일부
프랜차이즈,핵밥-안산한양대점,경기도 안산시 상록구 사동 1149-3 1층
프랜차이즈,도야짬뽕-안산한양대점,경기도 안산시 상록구 사동 1562-1 102호
프랜차이즈,안동하회찜닭-본오점,경기도 안산시 상록구 사동 1299-8 101호
프랜차이즈,메가MGC커피-안산석호점,경기도 안산시 상록구 사동 1333-17 1층일부
프랜차이즈,화채꽃-안산점,경기도 안산시 상록구 사동 1576-3 101호 (사동)
프랜차이즈,파리바게뜨-안산금강점,"경기도 안산시 상록구 사동 1533 늘푸른아파트 1533 늘푸른아파트 401동 1층 101~2, 114호"
프랜차이즈,계림원-안산점,경기도 안산시 상록구 사동 1559-3 1559-3 1층
프랜차이즈,효자동설렁탕-안산상록점,경기도 안산시 상록구 사동 1202-6 1층 일부
프랜차이즈,노랑통닭-안산사동점,경기도 안산시 상록구 사동 1321-10 1층
프랜차이즈,찐하오마라탕-사동점,경기도 안산시 상록구 사동 1569-6 한대트윈스빌2 1층 101~102호
프랜차이즈,오늘은새우회-안산점,경기도 안산시 상록구 사동 1240-11 1층 오늘은새우회
프랜차이즈,명가갈비찜-사동점,경기도 안산시 상록구 사동 1550-1 1층 102호
프랜차이즈,족보잇는국밥&밀면-사동점,경기도 안산시 상록구 사동 1194-1 청룡빌딩 1층 103호
프랜차이즈,탕화쿵푸마라탕-한양대에리카점,"경기도 안산시 상록구 사동 1569-5 라라캠퍼스 106,107호"
프랜차이즈,이디야커피-안산상록구청점,경기도 안산시 상록구 사동 1191-12 1191-12 1층 101호
프랜차이즈,투썸플레이스-안산사동점,경기도 안산시 상록구 사동 1431-10 주건축물제1동 1층
프랜차이즈,백남옥손만두-사동점,경기도 안산시 상록구 사동 1298 1층 일부
프랜차이즈,낭만닭발(상록구 사동),경기도 안산시 상록구 사동 1517-4 1517-4
프랜차이즈,옥문,경기도 안산시 상록구 사동 1481-11 1층 일부호
프랜차이즈,돈기부여-상록점,"경기도 안산시 상록구 사동 1317-1 돈기부여,상록점 1층 일부"
프랜차이즈,유가네닭갈비-안산한양대점,경기도 안산시 상록구 사동 1569-1 1569-1 B동 2층
프랜차이즈,조쉐프의쌀국수-경기도안산점,경기도 안산시 상록구 사동 1194-1 청룡빌딩 1층 103호
프랜차이즈,만두여행-안산사동점,경기도 안산시 상록구 사동 1332 101호
프랜차이즈,또봉이통닭-경기안산사동3호점,경기도 안산시 상록구 사동 1240-17 1240-17 101호
프랜차이즈,김선생불닭발-상록구점,경기도 안산시 상록구 사동 1506 본오1차아파트 본오프라자 상가 상가동 2층 215호
프랜차이즈,동대문엽기떡볶이-안산사이점,"경기도 안산시 상록구 사동 1386-4 102호,103호"
프랜차이즈,30년불멸의닭발-안산사동점,경기도 안산시 상록구 사동 1423 e편한세상 상록 상가 102동 104호
프랜차이즈,두번먹는명인김치찜-안산사동점,경기도 안산시 상록구 사동 1423 e편한세상 상록 상가동102동 104호
프랜차이즈,라화쿵부마라탕-안산한양대점,"경기도 안산시 상록구 사동 1562-3 한대빌딩 101, 102호"
프랜차이즈,1989슈퍼덮밥-사동점,경기도 안산시 상록구 사동 1332 101호
프랜차이즈,찐하오마라탕-그랑시티점,경기도 안산시 상록구 사동 1639-20 1층 118호
프랜차이즈,파리바게뜨-안산사동중앙점,경기도 안산시 상록구 사동 1318-1 1318-1 1층 104호
프랜차이즈,이삭토스트-안산사동점,경기도 안산시 상록구 사동 1333-13 1층
프랜차이즈,페리카나-사동2점,경기도 안산시 상록구 사동 1396-2 1396-2 102호
프랜차이즈,2+1포차-안산상록점,경기도 안산시 상록구 사동 1241-8 1층 101호
프랜차이즈,더벤티-안산사동중앙점,"경기도 안산시 상록구 사동 1423 상록e편한세상공인중개사사무소,상가102동,1층 102동 103호"
프랜차이즈,자담치킨-사동점,경기도 안산시 상록구 사동 1469-8 101호
프랜차이즈,피자마루-사동점,경기도 안산시 상록구 사동 1420-17 1층
프랜차이즈,팔팔김치찜&김치찌개-상록점,경기도 안산시 상록구 사동 1186-11 1층
프랜차이즈,오구피자-본오아파트점,경기도 안산시 상록구 사동 1505 본오2차아파트 1505 본오2차아파트 1층 105호
프랜차이즈,BHC-안산사동점,경기도 안산시 상록구 사동 1410-5 1410-5
프랜차이즈,마선생얼큰국밥-안산사동점,경기도 안산시 상록구 사동 1398-12 1층 일부호
프랜차이즈,제육왕칠백도-상록구점,경기도 안산시 상록구 사동 1506 본오1차아파트 본오프라자 상가 상가동 2층 215호
프랜차이즈,페리카나-사동점,경기도 안산시 상록구 사동 1333-14 1층 103호
프랜차이즈,파리바게뜨-안산한양대점,경기도 안산시 상록구 사동 1569-2 1569-2 1층
프랜차이즈,교촌치킨-사동2호점,경기도 안산시 상록구 사동 1418-6 삼성빌딩2차 1층
프랜차이즈,사계절갈비-안산상록점,경기도 안산시 상록구 사동 1241-8 1층 101호
프랜차이즈,푸라닭-안산해양그랑시티점,경기도 안산시 상록구 사동 1639 그랑자이호수부동산공인중개사사무소 그랑시키자이2차 근린생활시설233호
프랜차이즈,짜글이용사성공담-안산점,경기도 안산시 상록구 사동 1576-3 101호 (사동)
프랜차이즈,김사부닭도리탕&찜닭-상록구점,경기도 안산시 상록구 사동 1506 본오1차아파트 본오프라자 상가 상가동 2층 215호
프랜차이즈,피나치공-안산사동점,경기도 안산시 상록구 사동 1339-2 103호
프랜차이즈,87닭강정-한양대점,경기도 안산시 상록구 사동 1581-2 1581-2 1층 101호
프랜차이즈,삼첩분식-한대역점,경기도 안산시 상록구 사동 1240-15 1층 101호
프랜차이즈,푸라닭-안산사동점,경기도 안산시 상록구 사동 1202-6 101호
프랜차이즈,꾸브라꼬숯불치킨-사동점,경기도 안산시 상록구 사동 1247-4 1층 일부
프랜차이즈,굽네치킨&피자-안산한양대점,경기도 안산시 상록구 사동 1550-8 1층
프랜차이즈,BBQ-안산고잔금강점,경기도 안산시 상록구 사동 1533 늘푸른아파트 늘푸른아파트상가 401동 104호
프랜차이즈,피자스쿨-안산한양대점,경기도 안산시 상록구 사동 1570-6 1층 101호
프랜차이즈,요거트퍼플-한양대점,경기도 안산시 상록구 사동 1523-5 1층
프랜차이즈,꽃내음김밥,경기도 안산시 상록구 사동 1318-8 한도프라자 101호
프랜차이즈,비스트로피자-안산1호점,경기도 안산시 상록구 사동 1346 상록수타운월드아파트 725동 104호
프랜차이즈,미스터파파임실치즈피자-사동점,경기도 안산시 상록구 사동 1338-6 101호
프랜차이즈,이삭토스트-안산한양대점,경기도 안산시 상록구 사동 1569-2 1569-2 1층 101호
프랜차이즈,덮덮밥-한대역점,경기도 안산시 상록구 사동 1240-15 1층 101호
프랜차이즈,크로엔젤-안산사동점,경기도 안산시 상록구 사동 1319 2층
프랜차이즈,맥시칸치킨-사동점,경기도 안산시 상록구 사동 1338-6 1층
프랜차이즈,오르새피자-안산점,경기도 안산시 상록구 사동 1243 1층 103호
프랜차이즈,마X포차-사이동점,경기도 안산시 상록구 사동 1424-7 1424-7
프랜차이즈,반달커피-안산상록점,경기도 안산시 상록구 사동 1299-9 1층 일부호
프랜차이즈,1키로탕수육-안산상록수점,경기도 안산시 상록구 사동 1318-8 한도프라자 109호
프랜차이즈,꾸브라꼬포장마차떡볶이-사동점,경기도 안산시 상록구 사동 1247-4 1층 일부
프랜차이즈,오리도니-안산상록점,경기도 안산시 상록구 사동 1253-1 103호 너와함께한입가심
프랜차이즈,"맛있게꿉다,꿉삼겹-한대역점",경기도 안산시 상록구 사동 1240-15 1층 101호
프랜차이즈,메가MGC커피-안산디지털프라자사거리점,경기도 안산시 상록구 사동 1518 1층 101호
프랜차이즈,메가MGC커피-한양대에리카점,"경기도 안산시 상록구 사동 1569-4 104호, 105호"
프랜차이즈,시베리아허스키냉면시허냉-안산본점,경기도 안산시 상록구 사동 1581-6 지하1층(사동)
프랜차이즈,코리안바베큐-안산사동점,경기도 안산시 상록구 사동 1469-16 1층 103호
