카테고리,가게명,주소
프랜차이즈,밥사랑-일동점,경기도 안산시 상록구 일동 666 1층
치킨,일동통닭,경기도 안산시 상록구 일동 580-8 1층 일부
피자/양식,피자헐-일동점,경기도 안산시 상록구 일동 576-6 576-6 1층
중국집,장백산,경기도 안산시 상록구 일동 632-9 1층
중국집,一大교동짬뽕,경기도 안산시 상록구 일동 618-3 618-3 1층
중국집,명품신교동짬뽕,경기도 안산시 상록구 일동 568-9 초대교회 1층
중국집,룡정닭날개,경기도 안산시 상록구 일동 661-11 1층 일부
중국집,마라홍마라탕,경기도 안산시 상록구 일동 575-1 1층 105호
중국집,쑈웨이오리목,경기도 안산시 상록구 일동 663-12 663-12
중국집,일선연마라탕&운남쌀국수,경기도 안산시 상록구 일동 667-3 1층 일부
중국집,문길훈제-본점,경기도 안산시 상록구 일동 667-3 1층 일부호
중국집,1916심양불고기,경기도 안산시 상록구 일동 661-15 1층
한식,전주반찬-본점,경기도 안산시 상록구 일동 574-4 1층104호
한식,어머님칼국수,경기도 안산시 상록구 일동 569-9 569-9 1층
한식,밥이보약-상록점,경기도 안산시 상록구 일동 576-2 576-2 1층
한식,꼬달반찬,경기도 안산시 상록구 일동 610 꼬달뷔페
한식,찬향기반찬(우리반찬),경기도 안산시 상록구 일동 538-7 1층 103호
한식,오마니반찬,경기도 안산시 상록구 일동 666-2 밥포유 1층 일부
한식,숙이네-안산본점,경기도 안산시 상록구 일동 667-6 102호
한식,오키닭발,경기도 안산시 상록구 일동 126-17 1층 일부
한식,한우정육소-안산대점,경기도 안산시 상록구 일동 610-4 1층 일부호
한식,달리는포차,경기도 안산시 상록구 일동 580-8 1층(일동)
한식,미가촌,경기도 안산시 상록구 일동 632 102호
한식,족발먹을래,경기도 안산시 상록구 일동 565-6 1층
한식,황토마을,경기도 안산시 상록구 일동 601-8 1층
한식,일번가갈비찜&엄마반찬,경기도 안산시 상록구 일동 122-17 122-17 1층
한식,문어대장꼬막공주,경기도 안산시 상록구 일동 92-11
한식,조은반찬,경기도 안산시 상록구 일동 620 101호
한식,문어대장꼬막공주-일동점,경기도 안산시 상록구 일동 92-11 지하층 일부호
한식,직접끓인탕전문점,경기도 안산시 상록구 일동 601-8 1층
한식,얼큰순두부외전,경기도 안산시 상록구 일동 570-7 570-7 1층
한식,황토화로구이,경기도 안산시 상록구 일동 601-8 601-8 1층
한식,흥양옥도가니탕&설렁탕-상록점,경기도 안산시 상록구 일동 579-1 1층 일부
한식,울엄마김치찌개,경기도 안산시 상록구 일동 570-7 570-7 1층
한식,골목식탁,경기도 안산시 상록구 일동 667-9 667-9
한식,탕에이마라마라탕&마라샹궈-안산워커스호텔점,경기도 안산시 상록구 일동 632-10 IMT관광호텔 1층
분식,바베리베이커리,경기도 안산시 상록구 일동 601-21 서원 1층
카페/디저트,두쫀쿠하우스,경기도 안산시 상록구 일동 610-4 1층 일부호
카페/디저트,커피앤쥬스,경기도 안산시 상록구 일동 572-7 1층
카페/디저트,비비드디저트카페,경기도 안산시 상록구 일동 540-9 1층
